StudentID,Age,Gender,A,B,C,D,E,F,G
student1,19,male,84,27,57,83,14,89,7
student2,19,female,10,44,22,14,33,56,77
student3,20,female,34,75,37,19,68,80,58
student4,19,female,87,31,80,82,30,89,33
student5,20,male,44,56,46,36,15,94,27
student6,19,female,79,70,34,83,7,13,52
student7,20,male,50,36,26,84,61,99,46
student8,20,female,67,56,18,89,47,78,45
student9,19,male,72,99,34,98,44,95,10
student10,19,male,33,16,1,58,24,16,92
student11,20,female,59,68,6,27,47,93,12
student12,19,male,25,95,53,70,55,52,92
student13,19,female,73,57,49,57,4,76,41
student14,20,male,62,76,37,67,88,72,0
student15,19,female,84,39,45,52,14,79,98
student16,19,female,72,75,83,53,17,98,86
student17,20,male,59,15,38,99,30,19,52
student18,19,male,23,88,30,93,2,4,93
student19,20,female,88,98,46,19,97,0,44
student20,19,male,70,29,37,30,25,76,76
