StudentID,Age,Gender,A,B,C,D,E,F,G
student1,19,male,14,79,86,38,82,22,48
student2,19,female,35,13,14,46,25,71,59
student3,20,female,13,61,47,29,19,37,75
student4,19,female,48,85,74,93,50,13,43
student5,20,male,92,40,35,45,85,27,7
student6,19,female,79,45,63,89,54,61,93
student7,20,male,63,47,42,2,13,79,79
student8,20,female,62,29,20,48,86,6,81
student9,19,male,2,56,32,96,31,11,99
student10,19,male,67,26,83,96,53,24,19
student11,20,female,36,55,98,42,39,95,16
student12,19,male,33,60,2,48,98,34,88
student13,19,female,44,89,39,35,39,58,27
student14,20,male,28,69,30,15,20,97,61
student15,19,female,52,96,52,53,55,47,89
student16,19,female,34,98,82,57,23,19,16
student17,20,male,48,97,5,81,56,92,10
student18,19,male,65,68,13,90,15,2,85
student19,20,female,42,55,23,13,42,5,11
student20,19,male,55,46,24,80,48,36,14
